epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2352,1.78144,2.63541,3.28912,0.38025,0.42614,0.38014,0.2061,1.61494,2.75459,3.1591,0.000546557,0.000546557,0.000546557
2,143.774,1.52669,2.00745,2.96898,0.45209,0.70833,0.51893,0.27968,1.64835,2.95716,3.01442,0.00104766,0.00104766,0.00104766
3,210.383,1.53984,1.80266,2.88961,0.42902,0.62879,0.52953,0.24387,1.66518,2.22753,3.11776,0.00149376,0.00149376,0.00149376
4,276.701,1.46351,1.67678,2.87113,0.5865,0.64394,0.64094,0.37989,1.62279,1.96375,3.15728,0.00141945,0.00141945,0.00141945
5,343.335,1.41909,1.60851,2.85481,0.59828,0.77083,0.69166,0.38007,1.53962,1.83906,3.04198,0.00133693,0.00133693,0.00133693
6,409.063,1.46966,1.5313,2.8602,0.52429,0.75568,0.58376,0.32423,1.75248,1.95328,3.15922,0.00125442,0.00125442,0.00125442
7,474.683,1.41866,1.43045,2.82732,0.5822,0.6572,0.58887,0.32886,1.81788,1.69246,3.23326,0.0011719,0.0011719,0.0011719
8,540.522,1.34465,1.37717,2.73673,0.70329,0.56379,0.64059,0.31277,1.7821,1.74553,3.34104,0.00108938,0.00108938,0.00108938
9,606.26,1.3175,1.34596,2.73395,0.64094,0.70455,0.69403,0.35219,1.72597,1.53385,3.22777,0.00100687,0.00100687,0.00100687
10,671.752,1.28946,1.32033,2.749,0.67725,0.67689,0.67238,0.33432,1.67616,1.69429,3.14804,0.000924352,0.000924352,0.000924352
11,737.341,1.01873,1.12425,2.51761,0.75834,0.56818,0.60492,0.33722,1.69129,1.84043,3.34766,0.000841835,0.000841835,0.000841835
12,803.348,0.9402,0.91837,2.3672,0.73394,0.76571,0.78777,0.4212,1.61529,1.33815,3.08719,0.000759318,0.000759318,0.000759318
13,869.309,0.88314,0.82096,2.26996,0.65341,0.66188,0.65482,0.33864,1.57228,1.61206,3.2506,0.000676802,0.000676802,0.000676802
14,937.389,0.83754,0.71446,2.22483,0.76762,0.49591,0.5774,0.30991,1.63358,1.81378,3.418,0.000594286,0.000594286,0.000594286
15,1004.66,0.82279,0.7347,2.25791,0.56348,0.66217,0.60387,0.37888,1.42769,1.58189,2.9473,0.000511769,0.000511769,0.000511769
16,1071.56,0.80983,0.67435,2.19273,0.74587,0.64583,0.69348,0.38582,1.60948,1.4951,3.27908,0.000429253,0.000429253,0.000429253
17,1137.96,0.75768,0.61889,2.1341,0.68844,0.6746,0.69889,0.36246,1.76742,1.58316,3.63313,0.000346736,0.000346736,0.000346736
18,1205.3,0.74454,0.58753,2.10539,0.63376,0.62018,0.65432,0.36813,1.62082,1.53406,3.30003,0.00026422,0.00026422,0.00026422
19,1271.49,0.72115,0.57912,2.0489,0.63526,0.7178,0.70761,0.39489,1.68306,1.4793,3.50705,0.000181703,0.000181703,0.000181703
20,1337.75,0.69794,0.54113,2.03734,0.65448,0.71195,0.72141,0.39995,1.69975,1.45641,3.50214,9.91865e-05,9.91865e-05,9.91865e-05
